Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Score
NYY,Jose Trevino,12.719999999999995,6.274509803921575,20.194174757281555,2.9955947136563905,7.304347826086953,-34.0,0.46399999999999997,15.5
NYY,DJ LeMahieu,14.14,7.8431372549019684,-2.7184466019417504,-1.5859030837004322,1.0434782608695565,-4.0,1.048,15.4
CHC,Yan Gomes,-23.21,3.9215686274509842,22.524271844660188,-13.920704845814962,7.999999999999997,19.0,0.916,14.9
ARI,Corbin Carroll,-23.21,5.490196078431378,17.4757281553398,10.572687224669604,-0.8695652173913051,16.0,0.621,14.8
DET,J. Schoop,-11.379999999999999,3.921568627450995,8.543689320388347,4.581497797356823,3.999999999999994,5.0,0.514,14.7
BOS,C. Rafaela,-4.92,-1.568627450980383,13.592233009708742,-25.550660792951536,3.8260869565217335,28.0,1.1,14.7
MIL,Joey Wiemer,-23.21,1.5686274509804046,5.43689320388349,-4.933920704845811,-0.6956521739130441,44.0,0.718,14.5
MIL,Owen Miller,-23.21,8.627450980392165,9.320388349514563,7.577092511013213,7.999999999999997,-16.0,1.246,13.8
COL,Coco Montes,-23.21,-6.274509803921564,20.194174757281555,-40.00000000000001,12.0,16.0,1.05,13.6
CHW,Hanser Alberto,-23.21,1.088453945710938e-14,25.242718446601934,-0.5286343612334806,3.1304347826086887,0.0,1.153,13.5
COL,Michael Toglia,-23.21,1.5686274509803937,6.990291262135919,-21.145374449339215,12.0,-3.0,1.194,13.1
PHI,Garrett Stubbs,14.879999999999999,-6.274509803921564,-3.883495145631072,8.458149779735681,-10.434782608695652,47.0,0.264,13.1
MIL,Willy Adames,-23.21,5.490196078431378,-0.7766990291262144,1.4096916299559483,13.913043478260873,6.0,1.065,13.0
SD,Gary Sanchez,18.37,1.088453945710938e-14,-5.825242718446607,-10.39647577092511,-13.217391304347828,24.0,0.712,12.9
CIN,T. Stephenson,-7.35,7.058823529411772,6.213592233009705,-7.224669603524226,5.3913043478260825,19.0,0.514,11.9
HOU,Jon Singleton,4.530000000000001,7.058823529411772,10.097087378640778,5.4625550660793,-7.304347826086964,0.0,0.597,11.8
NYY,Jake Bauers,15.96,4.705882352941181,-9.70873786407768,-20.440528634361243,7.130434782608692,27.0,0.46399999999999997,11.4
COL,E. Montero,-23.21,1.5686274509803937,13.592233009708728,-20.9691629955947,7.304347826086953,9.0,1.2530000000000001,11.1
STL,Tommy Edman,-23.21,6.274509803921575,0.7766990291262036,16.38766519823789,-5.391304347826092,19.0,0.351,11.1
DET,Javier Baez,-14.1,5.490196078431378,11.650485436893206,-3.3480176211453774,-2.4347826086956643,16.0,0.841,11.1
KC,Matt Duffy,-23.21,2.3529411764705905,14.368932038834956,3.171806167400884,1.0434782608695565,18.0,0.264,11.0
HOU,Jake Meyers,-4.6899999999999995,11.764705882352942,15.145631067961157,11.101321585903085,-8.695652173913041,-8.0,0.664,11.0
BAL,Ramon Urias,-23.21,6.274509803921575,32.62135922330096,-0.3524229074889871,-4.0000000000000036,-28.0,0.791,10.5
SEA,T. Trammell,-23.21,0.7843137254902077,3.4951456310679543,-12.511013215859032,-2.956521739130428,10.0,0.653,10.1
STL,R. Palacios,-23.21,-0.784313725490186,-20.97087378640778,8.281938325991186,-6.956521739130432,37.0,1.764,10.0
ARI,E. Rivera,-23.21,10.196078431372548,12.038834951456312,5.286343612334807,9.565217391304346,1.0,0.937,9.9
LAD,David Peralta,3.220000000000002,0.7843137254901968,31.84466019417476,-10.748898678414097,-0.5217391304347928,0.0,0.389,9.6
NYY,J. Dominguez,16.240000000000002,-0.784313725490186,15.922330097087382,-42.2907488986784,6.434782608695648,14.0,0.541,9.5
TB,Isaac Paredes,-5.68,3.1372549019607874,1.5533980582524178,4.405286343612339,-0.8695652173913149,14.0,0.571,9.4
NYM,Mark Vientos,-23.21,2.352941176470601,19.805825242718445,-23.436123348017613,-11.304347826086957,11.0,0.794,9.2
KC,Franmil Reyes,-23.21,-3.1372549019607767,9.70873786407767,-8.810572687224669,-2.9565217391304373,29.0,1.066,8.9
OAK,Zack Gelof,-23.21,2.352941176470601,-10.097087378640778,-12.863436123348002,12.347826086956523,19.0,0.925,8.9
KC,MJ Melendez,-23.21,1.5686274509803937,-3.495145631067965,-3.3480176211453676,0.3478260869565124,-2.0,0.749,8.6
SF,Mark Mathias,-4.090000000000001,6.274509803921575,1.9417475728155251,-10.748898678414097,6.782608695652169,8.0,1.0390000000000001,8.2
MIL,Mark Canha,-23.21,9.411764705882362,8.932038834951454,5.110132158590303,7.478260869565215,3.0,1.246,8.2
CIN,TJ Friedl,-12.74,3.9215686274509842,12.038834951456312,5.4625550660793,-4.869565217391308,1.0,1.58,7.6
ARI,Ketel Marte,-23.21,5.490196078431378,3.4951456310679543,13.744493392070488,-0.17391304347826103,15.0,0.894,7.1
TOR,Bo Bichette,-23.21,10.196078431372559,12.815533980582527,-13.92070484581498,12.347826086956523,-4.0,0.618,6.4
BAL,Kyle Stowers,-23.21,2.352941176470601,29.126213592233007,-22.73127753303964,-2.2608695652173934,-17.0,2.2640000000000002,6.4
SEA,Eugenio Suarez,-23.21,9.411764705882351,0.7766990291262036,2.1145374449339323,12.521739130434785,-15.0,0.899,6.4
MIL,C. Yelich,-23.21,1.5686274509804046,12.815533980582527,-3.876651982378858,5.217391304347822,-7.0,0.514,6.1
CIN,C. En-Strand,-14.91,3.9215686274509842,9.320388349514563,-12.511013215859032,12.173913043478263,8.0,0.597,6.0
SD,X. Bogaerts,-2.21,3.1372549019607874,3.883495145631061,5.1101321585903134,-8.695652173913041,3.0,1.407,5.9
CIN,Luke Maile,-14.339999999999998,1.5686274509804046,10.097087378640778,-2.8193832599118873,-5.391304347826092,22.0,0.514,5.7
SF,Joey Bart,9.43,9.411764705882362,8.543689320388347,-4.229074889867845,-0.8695652173913051,-1.0,0.264,5.6
DET,Carson Kelly,-10.18,3.137254901960798,12.427184466019419,-3.3480176211453774,-0.6956521739130538,9.0,0.514,5.3
LAA,Chad Wallach,-23.21,0.7843137254902077,-7.7669902912621325,-14.977973568281943,6.782608695652169,9.0,0.264,5.2
MIL,A. Monasterio,-23.21,6.274509803921575,-1.0778864316749093e-14,1.585903083700442,14.78260869565218,4.0,0.978,4.4
MIL,Darin Ruf,-23.21,1.088453945710938e-14,-8.543689320388358,-4.581497797356832,9.043478260869565,15.0,1.1720000000000002,4.4
BAL,James McCann,-23.21,8.627450980392165,26.407766990291254,-7.753303964757707,3.30434782608695,-19.0,0.264,4.4
OAK,Tony Kemp,-23.21,4.705882352941181,3.1067961165048468,8.810572687224669,-0.521739130434783,1.0,0.916,4.2
KC,Dairon Blanco,-23.21,2.3529411764705905,12.038834951456312,-8.634361233480174,-3.652173913043482,12.0,0.611,3.6
MIA,Jorge Soler,-23.21,-0.784313725490186,-8.932038834951454,-17.092511013215844,1.9130434782608614,20.0,0.6890000000000001,2.5
TB,Rene Pinto,-4.580000000000001,-3.1372549019607767,-1.5533980582524396,-16.563876651982383,2.7826086956521667,26.0,0.864,2.5
ARI,Evan Longoria,-23.21,4.705882352941181,14.368932038834956,-3.7004405286343545,-0.521739130434783,-4.0,0.614,2.3
BAL,Cedric Mullins,-23.21,3.921568627450995,20.970873786407765,8.458149779735681,-7.652173913043476,-20.0,0.977,2.1
SF,Casey Schmitt,4.179999999999999,9.411764705882362,16.31067961165048,-0.17621145374449354,4.347826086956515,-27.0,0.264,1.9
NYY,Anthony Volpe,-0.6800000000000002,10.980392156862745,6.601941747572813,-8.105726872246693,6.782608695652169,-13.0,0.7090000000000001,1.8
LAA,Matt Thaiss,-23.21,-1.568627450980383,-14.368932038834956,-11.806167400881058,5.217391304347822,8.0,0.40700000000000003,1.6
BOS,E. Valdez,7.670000000000002,1.088453945710938e-14,9.70873786407767,-5.638766519823784,-7.652173913043476,-1.0,0.514,1.6
OAK,S. Langeliers,-23.21,5.490196078431378,-7.766990291262144,-7.048458149779733,-4.347826086956515,21.0,1.312,1.6
NYM,Brandon Nimmo,-23.21,2.352941176470601,-1.5533980582524396,-7.40088105726872,1.7391304347826004,-14.0,1.1219999999999999,1.5
NYY,Oswald Peraza,7.56,3.9215686274509842,21.35922330097087,-22.026431718061666,-1.5652173913043492,-8.0,1.0819999999999999,1.4
WAS,Dominic Smith,-18.409999999999997,4.705882352941181,18.640776699029125,-9.339207048458148,4.173913043478255,1.0,1.17,0.8
TB,Jose Siri,-17.24,-3.1372549019607767,10.87378640776699,-22.026431718061666,1.2173913043478175,31.0,1.026,0.7
LAA,Jordyn Adams,-23.21,1.5686274509804046,17.86407766990291,-28.722466960352417,-5.2173913043478315,2.0,0.44599999999999995,0.7
OAK,Carlos Perez,-23.21,3.1372549019607874,-1.9417475728155467,-2.1145374449339127,0.17391304347826103,-4.0,0.664,0.7
SD,Manny Machado,13.82,0.7843137254902077,-3.4951456310679756,-0.5286343612334709,-6.260869565217387,-4.0,1.242,0.4
COL,Austin Wynns,-23.21,-0.784313725490186,8.15533980582524,-17.79735682819382,7.130434782608692,5.0,0.928,0.0
NYM,Omar Narvaez,-23.21,7.058823529411772,6.990291262135919,2.1145374449339225,2.2608695652173836,-25.0,0.613,-0.3
CHW,A. Benintendi,-23.21,1.088453945710938e-14,13.592233009708742,2.1145374449339225,8.173913043478258,-10.0,0.862,-0.4
SF,Wade Meckler,14.789999999999997,2.352941176470601,-3.4951456310679756,-20.79295154185023,13.391304347826088,-7.0,1.077,-0.8
NYY,I. Kiner-Falefa,12.23,7.8431372549019684,1.5533980582524178,0.17621145374450334,-0.8695652173913051,-23.0,0.541,-1.1
MIN,Royce Lewis,-0.8100000000000005,4.705882352941181,1.1650485436893108,-7.048458149779733,0.17391304347825137,1.0,1.308,-1.1
LAD,Will Smith,-5.919999999999998,1.5686274509803937,18.640776699029125,-7.40088105726872,-0.1739130434782707,-8.0,1.061,-1.4
LAD,Amed Rosario,-7.720000000000001,1.5686274509803937,29.90291262135922,-5.991189427312771,3.8260869565217335,-25.0,0.40700000000000003,-1.4
CIN,Henry Ramos,-9.04,3.1372549019607874,6.601941747572813,-0.3524229074889773,1.5652173913043397,-4.0,0.844,-2.1
CHW,Elvis Andrus,-23.21,-6.274509803921564,11.650485436893206,1.938325991189429,-6.086956521739136,8.0,1.153,-2.2
KC,Nick Pratto,-23.21,-1.568627450980383,5.0485436893203826,-24.66960352422907,11.304347826086957,14.0,0.786,-2.2
ATL,Sean Murphy,2.71,8.627450980392165,-1.941747572815536,-8.634361233480174,7.130434782608692,-13.0,0.522,-2.7
CIN,Jake Fraley,-9.39,3.1372549019607874,8.15533980582524,1.5859030837004517,9.913043478260867,-18.0,0.664,-3.1
ATL,Orlando Arcia,-13.33,0.7843137254902077,4.660194174757276,-5.110132158590303,-2.086956521739132,11.0,0.794,-3.2
STL,W. Contreras,-23.21,8.627450980392165,-10.485436893203882,3.5242290748898712,1.3913043478260785,17.0,1.504,-3.6
OAK,L. Butler,-23.21,2.352941176470601,-2.330097087378643,-22.73127753303964,-7.826086956521737,30.0,0.633,-3.8
COL,Harold Castro,-23.21,1.5686274509803937,15.533980582524265,-11.982378854625551,14.782608695652158,-19.0,1.564,-4.1
DET,Riley Greene,11.62,4.705882352941181,-10.485436893203895,-0.17621145374449354,6.956521739130432,-17.0,0.753,-4.4
BAL,Joey Ortiz,-23.21,-1.568627450980383,31.067961165048544,-15.154185022026434,2.2608695652173836,-20.0,0.264,-4.6
HOU,Grae Kessinger,-2.179999999999999,3.9215686274509842,19.02912621359223,-25.198237885462547,-9.913043478260867,-5.0,0.264,-5.1
CHC,J. Candelario,-11.48,-2.3529411764705794,0.3883495145630964,-12.511013215859013,6.260869565217387,0.0,0.264,-5.2
LAD,E. Hernandez,-0.40000000000000013,3.9215686274509842,19.41747572815534,-5.286343612334797,-1.2173913043478368,-23.0,0.91,-6.0
SD,Luis Campusano,2.7800000000000002,7.058823529411772,7.7669902912621325,2.6431718061674037,0.5217391304347734,-28.0,0.872,-6.3
TEX,Josh Jung,12.65,1.5686274509803937,4.660194174757276,-20.616740088105715,13.391304347826072,-18.0,0.9,-6.3
MIL,G. Mitchell,-23.21,0.7843137254902077,12.815533980582527,-23.612334801762124,8.869565217391303,5.0,1.1720000000000002,-6.7
TOR,G. Springer,-23.21,16.470588235294123,-6.99029126213593,-16.035242290748904,7.130434782608692,-11.0,0.607,-7.0
MIL,Blake Perkins,-23.21,-3.9215686274509736,8.543689320388347,-18.85462555066078,3.1304347826086985,14.0,0.978,-7.8
KC,Samad Taylor,-23.21,-3.9215686274509736,4.660194174757276,-28.017621145374445,-4.347826086956526,23.0,1.048,-8.1
LAA,Kyren Paris,-23.21,-3.1372549019607767,6.990291262135919,-35.418502202643175,-5.2173913043478315,4.0,0.499,-9.1
MIL,Brice Turang,-23.21,9.411764705882362,4.271844660194168,8.986784140969162,11.652173913043478,-19.0,0.749,-9.9
TOR,Ernie Clement,-23.21,10.196078431372559,21.35922330097087,-5.110132158590303,4.173913043478255,-26.0,0.835,-9.9
MIL,M. Brosseau,-23.21,0.7843137254902077,2.330097087378632,-7.9295154185022,4.347826086956515,-1.0,1.303,-10.4
DET,Parker Meadows,-15.9,3.137254901960798,8.932038834951454,-3.7004405286343642,2.086956521739123,-9.0,0.753,-10.9
