,Unnamed: 0.1,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
313,313,313,OAK,Ryan Noda,14.62,-3.9215686274509736,1.1650485436893108,-25.198237885462547,2.7826086956521667,0.0,0.917,0.96,-9.3,-8.3
314,314,314,OAK,Nick Allen,-25.41,0.7843137254902077,22.524271844660195,0.8810572687224776,-12.0,-63.0,0.742,0.96,-54.3,-53.3
315,315,315,MIN,Kyle Farmer,7.190000000000001,1.5686274509803937,10.097087378640778,-1.5859030837004322,15.826086956521724,13.0,0.949,0.96,42.0,43.0
316,316,316,OAK,L. Butler,-14.499999999999998,3.921568627450984,11.262135922330096,-16.211453744493397,-9.565217391304346,10.0,0.643,0.96,-9.3,-8.3
317,317,317,MIN,Kyle Garlick,-5.35,-2.3529411764705794,0.3883495145631072,-21.14537444933921,7.999999999999997,22.0,0.949,0.96,1.5,2.5
318,318,318,MIN,Carlos Correa,10.39,6.274509803921564,12.038834951456312,-0.3524229074889773,10.434782608695652,27.0,0.876,0.96,55.3,56.3
319,319,319,MIN,Jose Miranda,-11.19,-0.784313725490186,15.14563106796117,-1.7621145374449256,9.217391304347824,-18.0,1.097,0.96,-7.1,-6.1
320,320,320,MIN,Jorge Polanco,4.32,-2.3529411764705794,-11.650485436893206,-7.577092511013213,15.826086956521724,34.0,1.097,0.96,34.3,35.3
321,321,321,MIN,Jordan Luplow,-16.66,-5.490196078431367,-1.941747572815536,-12.33480176211454,4.869565217391299,-20.0,0.514,0.96,-25.4,-24.4
322,322,322,MIN,Joey Gallo,-32.31,-14.117647058823534,-12.42718446601942,-33.83259911894273,-2.4347826086956643,-38.0,1.096,0.96,-127.8,-126.8
323,323,323,MIN,Edouard Julien,-15.85,-4.70588235294117,-15.533980582524276,-16.916299559471373,10.956521739130435,12.0,1.096,0.96,-31.6,-30.6
324,324,324,OAK,S. Langeliers,1.1400000000000006,-0.784313725490186,12.038834951456312,-10.925110132158592,-5.565217391304353,-17.0,1.099,0.96,-22.3,-21.3
325,325,325,MIN,C. Vazquez,-13.15,3.1372549019607874,13.203883495145632,-5.286343612334797,17.21739130434781,-19.0,0.84,0.96,-3.1,-2.1
326,326,326,MIN,Byron Buxton,8.639999999999999,-5.490196078431367,-1.5533980582524287,-18.85462555066078,5.217391304347822,5.0,0.918,0.96,-6.8,-5.8
327,327,327,MIN,Alex Kirilloff,0.6999999999999993,3.921568627450984,8.15533980582524,-7.577092511013213,24.17391304347825,54.0,0.918,0.96,73.5,74.5
328,328,328,MIN,A. Stevenson,-9.97,-3.9215686274509736,15.922330097087382,-15.33039647577091,-9.654113257610056e-15,7.0,0.862,0.96,-5.2,-4.2
329,329,329,OAK,Jordan Diaz,-7.689999999999999,3.1372549019607874,24.854368932038827,-6.343612334801758,-1.7391304347826102,-38.0,0.714,0.96,-17.7,-16.7
330,330,330,OAK,Kevin Smith,-23.04,-1.568627450980383,24.46601941747572,-17.79735682819382,-11.826086956521742,-52.0,0.587,0.96,-46.1,-45.1
331,331,331,MIN,Donovan Solano,-0.4599999999999999,3.1372549019607874,6.990291262135919,-5.46255506607929,23.65217391304347,-1.0,0.4539999999999999,0.96,11.7,12.7
332,332,332,OAK,Jonah Bride,-21.17,1.5686274509803937,-4.660194174757276,-2.9955947136563807,0.1739130434782513,-70.0,1.026,0.96,-93.2,-92.2
333,333,333,OAK,Aledmys Diaz,2.7600000000000007,5.490196078431378,21.74757281553398,2.46696035242291,-5.9130434782608745,-47.0,0.714,0.96,-14.0,-13.0
334,334,334,OAK,JJ Bleday,-12.0,-3.1372549019607767,0.3883495145630964,-8.810572687224669,-3.4782608695652204,-16.0,1.026,0.96,-41.3,-40.3
335,335,335,MIN,Willi Castro,-28.680000000000003,1.5686274509803937,9.70873786407767,-8.634361233480174,12.173913043478263,2.0,1.0779999999999998,0.96,-12.3,-11.3
