,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
107,107,NYY,G. Stanton,-2.0000000000000004,-7.843137254901959,-6.213592233009715,-21.67400881057268,-1.73913043478262,-8.0,0.7170000000000001,0.93,-31.7,-30.7
108,108,NYY,Anthony Rizzo,-2.9000000000000004,6.274509803921575,-1.5533980582524396,-19.030837004405296,8.52173913043478,1.0,1.282,0.93,-7.1,-6.1
109,109,NYY,Austin Wells,-13.82,-1.568627450980383,8.543689320388347,-29.074889867841406,-4.521739130434787,6.0,0.864,0.93,-27.7,-26.7
110,110,NYY,Ben Rortvedt,-10.51,-3.1372549019607767,-2.718446601941761,-20.9691629955947,-3.1304347826086985,-13.0,0.648,0.93,-32.2,-31.200000000000003
111,111,NYY,DJ LeMahieu,-6.599999999999997,3.921568627450984,-6.601941747572822,-11.629955947136564,0.5217391304347734,9.0,0.878,0.93,-9.3,-8.3
112,112,NYY,E. Florial,-5.320000000000001,-8.627450980392155,-1.1650485436893323,-37.180616740088105,7.652173913043476,1.0,0.935,0.93,-37.9,-36.9
113,113,NYY,E. Pereira,-17.69,-7.843137254901959,6.990291262135919,-46.69603524229075,18.086956521739136,-10.0,0.667,0.93,-35.5,-34.5
114,114,NYY,F. Cordero,15.390000000000002,-3.1372549019607767,7.766990291262132,-38.94273127753304,0.6956521739130345,31.0,0.667,0.93,11.9,12.9
115,115,NYY,Gleyber Torres,15.52,4.705882352941181,1.1650485436893108,-6.872246696035238,4.173913043478255,13.0,0.966,0.93,28.5,29.5
116,116,NYY,I. Kiner-Falefa,-7.610000000000002,1.088453945710938e-14,1.1650485436893108,-8.986784140969162,-1.0434782608695758,-6.0,0.763,0.93,-15.9,-14.9
117,117,NYY,J. Dominguez,2.5400000000000045,-9.411764705882351,12.42718446601942,-49.69162995594713,5.217391304347822,41.0,0.264,0.93,0.5,1.5
118,118,NYY,Jake Bauers,5.229999999999999,-4.70588235294117,-18.64077669902913,-31.541850220264315,5.3913043478260825,22.0,0.653,0.93,-13.5,-12.5
119,119,NYY,Jose Trevino,0.29,-1.568627450980383,17.4757281553398,-4.405286343612328,5.913043478260866,-15.0,0.653,0.93,2.5,3.5
120,120,NYY,K. Higashioka,-3.460000000000001,6.274509803921575,-5.048543689320393,-18.32599118942732,5.913043478260866,4.0,1.264,0.93,-12.5,-11.5
121,121,NYY,O. Cabrera,-16.720000000000002,1.088453945710938e-14,8.543689320388347,-6.696035242290745,0.5217391304347734,7.0,1.0670000000000002,0.93,-7.3,-6.3
122,122,NYY,Oswald Peraza,-16.169999999999998,-4.70588235294117,17.087378640776695,-26.07929515418502,-2.608695652173916,-11.0,0.941,0.93,-38.0,-37.0
123,123,NYY,Willie Calhoun,3.82,2.3529411764705905,6.990291262135919,-0.5286343612334709,6.956521739130432,40.0,0.941,0.93,55.4,56.4
124,124,NYY,Anthony Volpe,-11.02,6.274509803921575,0.3883495145630964,-16.211453744493397,5.565217391304344,6.0,0.792,0.93,-6.6,-5.6
125,125,ARI,Alek Thomas,-36.54,-1.568627450980383,18.640776699029125,2.1145374449339225,-2.7826086956521765,-31.0,0.948,0.93,-45.1,-44.1
126,126,NYY,Aaron Judge,27.91,-3.1372549019607767,-24.46601941747574,-26.78414096916299,7.304347826086953,60.0,1.282,0.93,48.7,49.7
127,127,SEA,Jose Caballero,-29.880000000000003,0.7843137254902077,14.368932038834956,-5.46255506607929,-2.434782608695654,-74.0,0.969,0.86,-80.5,-79.5
128,128,SEA,D. Canzone,14.54,5.490196078431378,27.961165048543684,-4.052863436123341,1.9130434782608607,9.0,0.898,0.86,42.4,43.4
