,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
119,TOR,Merrifield,TB,-60.4,78.43137254901958,201.9417475728156,-29.955947136563807,48.69565217391299,-36.0,0.883,0.96,1.7,
120,MIL,Frelick,CHC,4.999999999999999,1.088453945710938e-13,155.33980582524276,121.58590308370044,-53.913043478260825,-4.0,0.85,0.91,1.7,
121,ATL,Arcia,WAS,24.5,62.74509803921575,3.883495145630964,79.295154185022,3.478260869565124,15.0,0.868,1.03,1.7,
122,CHW,Benintendi,SD,-8.3,86.27450980392166,27.184466019417396,82.81938325991186,41.73913043478255,1.0,0.764,0.99,1.7,
123,SF,Schmitt,LAD,-25.68,31.37254901960798,182.52427184466012,42.29074889867845,8.695652173912954,-67.0,0.668,1.0,1.7,
124,CIN,En-Strand,STL,-12.68,62.74509803921575,69.90291262135919,-38.766519823788485,99.13043478260867,-6.0,1.224,0.96,1.7,
125,TOR,Kirk,TB,-33.04,78.43137254901958,170.87378640776694,-15.859030837004322,0.0,-8.0,0.925,0.96,1.7,5.0
126,LAA,Grichuk,OAK,5.91,7.843137254902077,58.25242718446597,38.766519823788585,34.78260869565211,9.0,1.085,1.0,1.7,
127,DET,Carpenter,CLE,6.6400000000000015,7.843137254901968,27.184466019417396,70.48458149779732,60.869565217391255,26.0,0.881,0.98,1.7,
128,NYY,Volpe,KC,1.6100000000000008,86.27450980392155,69.90291262135919,15.85903083700442,-5.217391304347928,17.0,0.8200000000000001,1.13,1.7,
129,DET,Schoop,CLE,-5.8100000000000005,-7.84313725490186,3.883495145631072,109.25110132158592,81.73913043478258,-4.0,0.916,0.98,1.7,
130,COL,Rodgers,MIN,10.32,70.58823529411771,190.29126213592232,-155.06607929515422,10.434782608695564,-26.0,1.345,1.28,1.7,
131,NYY,Kiner-Falefa,KC,1.5199999999999991,70.58823529411761,38.834951456310606,114.53744493392072,-60.86956521739136,6.0,0.864,1.13,1.7,
132,SF,DeJong,LAD,-0.6899999999999995,-7.84313725490186,233.009708737864,-88.10572687224669,34.78260869565211,-14.0,0.5609999999999999,1.0,1.6,
133,TB,Franco,TOR,6.66,54.90196078431378,100.97087378640778,-49.33920704845811,62.60869565217387,-12.0,0.666,0.96,1.6,
134,HOU,Tucker,ARI,9.630000000000004,47.05882352941181,-34.95145631067976,24.669603524229096,83.47826086956519,3.0,1.19,1.03,1.6,
135,SF,Pollock,LAD,-22.97,70.58823529411771,97.08737864077668,81.05726872246693,-45.21739130434787,-25.0,0.919,1.0,1.6,
136,CIN,Maile,STL,-3.549999999999999,62.74509803921575,27.184466019417396,74.0088105726872,-31.304347826086985,3.0,1.273,0.96,1.6,
137,ATL,Murphy,WAS,45.43,62.74509803921575,-108.73786407766993,58.14977973568277,113.04347826086956,45.0,0.704,1.03,1.6,
138,LAA,Fletcher,OAK,-26.180000000000003,-15.68627450980383,139.80582524271847,149.77973568281942,-55.65217391304353,-38.0,0.961,1.0,1.5,
139,CLE,Gimenez,DET,12.27,47.05882352941181,23.300970873786323,37.00440528634364,-10.43478260869576,0.0,1.362,0.98,1.5,
140,MIL,Monasterio,CHC,-11.079999999999998,23.52941176470601,62.13592233009705,81.05726872246693,64.34782608695647,39.0,0.631,0.91,1.5,
