Team,Player,PP,XBH,BB,K,Line,H,OPS,Score
SEA,J.P. Crawford,13.799999999999999,1.088453945710938e-14,15.922330097087382,3.7004405286343545,13.565217391304351,-5.0,0.748,24.7
STL,Tommy Edman,15.27,0.7843137254902077,-1.9417475728155251,-13.039647577092513,-2.086956521739142,22.0,1.163,24.4
NYM,Tomas Nido,13.799999999999999,1.5686274509804046,-14.368932038834956,15.506607929515424,7.652173913043476,15.0,0.597,23.9
PHI,Bryce Harper,13.799999999999999,-3.1372549019607767,4.271844660194179,16.916299559471373,7.999999999999997,-6.0,0.762,23.4
NYY,E. Pereira,-2.8900000000000015,-5.490196078431367,-12.815533980582527,49.69162995594713,9.043478260869565,-9.0,0.8160000000000001,23.3
NYM,Ronny Mauricio,13.799999999999999,1.088453945710938e-14,-8.15533980582524,8.986784140969162,4.347826086956515,22.0,0.858,23.3
PIT,Connor Joe,13.799999999999999,1.5686274509804046,-5.43689320388349,-5.814977973568287,9.043478260869565,32.0,0.7,23.1
TB,Brandon Lowe,2.889999999999999,2.352941176470601,-9.70873786407767,12.33480176211454,0.5217391304347734,14.0,,22.4
OAK,Jonah Bride,-1.0699999999999998,0.7843137254902077,12.815533980582527,-4.581497797356823,-4.0000000000000036,38.0,0.514,21.6
SEA,Josh Rojas,13.799999999999999,3.9215686274509842,-1.9417475728155251,5.638766519823784,10.782608695652174,6.0,0.9390000000000001,21.3
STL,B. Donovan,14.42,4.705882352941192,-5.825242718446598,-13.392070484581502,-1.0434782608695758,22.0,,20.9
SEA,Ty France,13.799999999999999,10.196078431372548,-6.213592233009705,-2.9955947136563905,14.782608695652158,-12.0,0.8220000000000001,20.2
NYM,Brett Baty,13.799999999999999,3.137254901960798,-0.3883495145630964,4.405286343612328,8.173913043478258,24.0,0.5800000000000001,19.9
NYY,Josh Donaldson,27.209999999999997,-3.1372549019607767,-1.9417475728155251,20.440528634361243,-10.26086956521739,-13.0,,19.3
