,Unnamed: 0,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
327,327,DET,Cabrera,KC,0.66,7.843137255,34.95145631,-169.1629956,26.08695652,-43,0.842,1.01,-1.2,
328,328,NYY,Stanton,TOR,0.17,-70.58823529,-1.08e-13,-89.86784141,-5.217391304,15,0.71,1.11,-1.2,
329,329,PIT,Joe,PHI,-61.71,-23.52941176,104.8543689,-112.7753304,48.69565217,-77,1.012,0.92,-1.1,
330,330,MIA,Soler,NYM,41.64,39.21568627,-159.223301,-112.7753304,12.17391304,75,1.205,0.89,-1.1,
331,331,CHC,Mervis,ATL,2.8,31.37254902,34.95145631,-151.5418502,-46.95652174,9,1.208,0.94,-1.1,
332,332,MIN,Castro,OAK,-19.3,62.74509804,-73.78640777,-112.7753304,62.60869565,-17,1.097,1.05,-1.1,1.0
333,333,MIN,Taylor,OAK,-8.19,62.74509804,-104.8543689,-153.3039648,22.60869565,-21,0.47,1.05,-1.0,
334,334,CHC,Barnhart,ATL,-25.67,-7.843137255,46.60194175,-5.286343612,-53.91304348,-59,1.251,0.94,-1.0,
335,335,ARI,McCarthy,CHW,-15.74,-31.37254902,-135.9223301,8.810572687,46.95652174,-25,0.621,1.01,-1.0,
336,336,NYY,Cordero,TOR,6.88,-31.37254902,147.5728155,-264.3171806,15.65217391,36,0.719,1.11,-1.0,
337,337,STL,Nootbaar,MIL,-40.84,7.843137255,-54.36893204,-82.81938326,12.17391304,9,0.767,0.9,-1.0,
338,338,OAK,Wade,MIN,-16.96,-39.21568627,7.766990291,-40.52863436,5.217391304,-16,0.64,1.05,-1.0,
339,339,STL,Contreras,MIL,-46.05,23.52941176,62.13592233,-140.969163,46.95652174,-17,1.431,0.9,-0.9,
340,340,TOR,Belt,NYY,-6.26,23.52941176,-135.9223301,-155.0660793,193.0434783,10,1.193,1.11,-0.9,4.0
341,341,KC,Velazquez,DET,-8.57,-15.68627451,62.13592233,-176.2114537,20.86956522,42,1.195,1.01,-0.9,
342,342,CHC,Candelario,ATL,1.18,7.843137255,-174.7572816,22.90748899,-34.7826087,-7,0.514,0.94,-0.9,
343,343,KC,Pratto,DET,-38.97,-15.68627451,116.5048544,-308.3700441,179.1304348,-51,0.756,1.01,-0.9,
344,344,MIA,Segura,NYM,-11.59,-54.90196078,19.41747573,17.62114537,-69.56521739,-4,1.068,0.89,-0.9,
345,345,KC,Bradley Jr.,DET,-38.33,-47.05882353,174.7572816,-140.969163,10.43478261,-45,0.867,1.01,-0.9,
346,346,OAK,Smith,MIN,-24.66,-54.90196078,201.9417476,-188.5462555,-80.0,-21,0.519,1.05,-0.9,
347,347,BAL,McKenna,BOS,-56.86,-7.843137255,205.8252427,-352.4229075,-20.86956522,-74,0.264,1.06,-0.9,
348,348,CHC,Hosmer,ATL,-5.56,1.09e-13,7.766990291,29.95594714,-109.5652174,-18,0.891,0.94,-0.9,
349,349,BAL,Westburg,BOS,-24.38,-23.52941176,139.8058252,-246.6960352,46.95652174,-17,0.638,1.06,-0.8,
350,350,MIL,Ruf,STL,27.52,-31.37254902,-170.8737864,74.00881057,-3.47826087,15,1.244,0.9,-0.8,
351,351,MIN,Gordon,OAK,-1.13,31.37254902,-31.06796117,-102.2026432,26.08695652,-4,1.119,1.05,-0.8,
352,352,BAL,McCann,BOS,-39.53,23.52941176,174.7572816,-262.5550661,55.65217391,-32,0.992,1.06,-0.8,
353,353,ARI,Rivera,CHW,-5.09,7.843137255,-163.1067961,-56.3876652,128.6956522,-6,0.892,1.01,-0.8,
354,354,PIT,Rodriguez,PHI,-58.52,47.05882353,73.78640777,-121.5859031,5.217391304,-60,0.63,0.92,-0.7,4.0
355,355,PHI,Hall,PIT,-24.32,-15.68627451,19.41747573,-14.0969163,3.47826087,-48,0.753,0.92,-0.7,
356,356,PHI,Pache,PIT,-9.45,-70.58823529,-3.883495146,-45.81497797,45.2173913,-13,0.753,0.92,-0.7,
357,357,TEX,Smith,SEA,0.42,23.52941176,46.60194175,-65.19823789,-71.30434783,-35,0.891,0.83,-0.7,
358,358,NYM,Locastro,MIA,-41.67,39.21568627,190.2912621,-137.4449339,-52.17391304,-74,1.076,0.89,-0.7,
359,359,NYY,McKinney,TOR,5.41,23.52941176,-69.90291262,-95.15418502,69.56521739,17,0.754,1.11,-0.6,
360,360,COL,McMahon,LAD,27.42,1.09e-13,62.13592233,-163.876652,12.17391304,18,0.961,1.31,-0.6,
361,361,NYY,Rortvedt,TOR,1.46,-15.68627451,42.7184466,-84.5814978,-12.17391304,-1,0.754,1.11,-0.6,
362,362,MIA,Berti,NYM,13.67,15.68627451,-69.90291262,-15.85903084,-3.47826087,24,1.911,0.89,-0.6,
363,363,PIT,Williams,PHI,-82.88,-23.52941176,186.407767,-325.9911894,88.69565217,-97,0.264,0.92,-0.6,
364,364,MIL,Brosseau,STL,18.9,-23.52941176,-58.25242718,22.90748899,-66.08695652,39,0.852,0.9,-0.6,
365,365,OAK,Bleday,MIN,-21.36,-70.58823529,-27.18446602,-95.15418502,3.47826087,-18,0.264,1.05,-0.6,
366,366,MIA,Myers,NYM,7.73,-47.05882353,23.30097087,-162.1145374,27.82608696,45,0.597,0.89,-0.6,
367,367,DET,Ibanez,KC,-10.66,7.843137255,93.2038835,-144.4933921,-38.26086957,34,1.072,1.01,-0.6,1.0
368,368,ARI,Thomas,CHW,-5.11,-47.05882353,-85.4368932,26.43171806,29.56521739,19,0.91,1.01,-0.6,
369,369,ARI,Ahmed,CHW,4.1,-7.843137255,-50.48543689,-105.7268722,97.39130435,13,1.034,1.01,-0.5,
370,370,PIT,Palacios,PHI,-57.67,70.58823529,205.8252427,-181.4977974,-40.0,-53,1.049,0.92,-0.5,
371,371,STL,O'Neill,MIL,-52.54,-15.68627451,108.7378641,-199.1189427,19.13043478,-15,0.347,0.9,-0.5,
372,372,MIN,Kepler,OAK,23.63,78.43137255,-279.6116505,3.524229075,88.69565217,51,1.119,1.05,-0.4,
